Country,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bhutan,BTN,3.355068285,8.348954483,10.99228184,7.823302361,6.008742236,7.287249352,6.999738095,18.36085406,4.799460612,6.748333748,11.945896,7.982617041,5.118400858,2.119972633,5.77649568,6.642232105,8.127033538,4.651834675,3.055129837,5.46452256,-6.772101611
Bolivia,BOL,2.507807553,1.683800939,2.485564847,2.711340707,4.173294318,4.421434767,4.797009171,4.564382752,6.148497195,3.357001259,4.126721926,5.204092443,5.122275581,6.796011428,5.460569506,4.85718718,4.263920864,4.195206334,4.223623653,2.21670564,-7.82328995
Bosnia and Herzegovina,BIH,5.500000276,4.399999319,5.300000812,3.999999711,6.099966745,8.759256822,5.414003571,5.859118402,5.441846789,-3.00445593,0.86566926,0.959511247,-0.821836474,2.349856663,1.153851092,3.089164152,3.149806916,3.171434875,3.740071092,2.831002603,-4.327345806
Botswana,BWA,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.276763793,6.245437363,-7.652310203,8.563630792,6.048361455,4.456144471,11.34339697,4.149262255,-1.697935427,4.303767448,2.903997732,4.478836553,3.025910054,-7.893053589
Brazil,BRA,4.387949443,1.389896403,3.053461858,1.140828998,5.759964639,3.20213138,3.961988722,6.069870608,5.094195447,-0.125811999,7.52822583,3.974425406,1.921150318,3.004846305,0.50395574,-3.545763393,-3.275916908,1.322869055,1.783666761,1.411152985,-4.059048273
British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,2.849421858,2.744040518,3.872096967,2.903955477,0.504318253,0.387507208,4.397719678,0.154581812,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.508352566,-0.39238375,-2.477917718,1.328602552,0.052237791,3.869109803,1.203001939
Bulgaria,BGR,4.782043523,3.817239752,5.953034408,5.151841011,6.441859463,7.153541381,6.802167579,6.557081052,6.085627607,-3.374838329,0.55944649,2.354556923,0.356586983,0.325769436,1.885464638,3.989851714,3.82043453,3.50275153,3.092447654,3.69430838,-4.15370283
Burkina Faso,BFA,1.888473889,6.613405745,4.35296383,7.802493889,4.478452137,8.661873228,6.253164688,4.111379018,5.799991741,2.961950859,8.446281577,6.622562613,6.45267238,5.792584845,4.326845615,3.921228794,5.957976708,6.203489411,6.731235608,5.699434934,2.022384695
Burundi,BDI,-0.856864058,2.055807108,4.446519412,-1.22372796,4.833657768,0.900000001,5.413807145,3.45195249,4.861712995,3.812746937,5.124163303,4.032602496,4.446708222,4.924195261,4.240651644,-3.900003086,-0.600020001,0.500009999,1.609933082,1.842476677,0.297577119
Cabo Verde,CPV,14.28486883,2.231654493,5.250891246,4.176259302,10.19707261,6.912457988,7.983750447,15.17068797,6.650520523,-1.270425968,1.466790097,3.968886345,1.081918279,0.802797601,0.611212666,1.006863707,4.705791509,3.702039188,4.531161684,5.66775246,-14.78340501
Cambodia,KHM,9.993580322,8.148386098,6.578939502,8.505895557,10.34052878,13.25008691,10.77108367,10.21257391,6.691577475,0.086696959,5.963078575,7.069569946,7.313345505,7.356665149,7.142571101,7.115694555,6.939060604,6.8414315,7.469169207,7.054106932,-3.141034806
Cameroon,CMR,3.553374364,4.368084242,4.237203677,4.567195256,6.780955924,2.020662307,3.457668793,4.902201732,3.488800919,2.198664102,3.422507641,4.129277161,4.543265016,5.40426571,5.884059327,5.651463744,4.648481551,3.549087318,4.06248684,3.720711423,0.730339198
Canada,CAN,4.917762744,1.405527589,3.422146171,3.811090153,3.914028782,4.995860869,4.165817627,6.868608857,1.007622695,-2.928400167,3.08949462,3.146881372,1.762222549,2.329122506,2.870036075,0.659176864,1.001394414,3.039880225,2.429547545,1.861415379,-5.402798553
Cayman Islands,CYM,..,..,..,..,..,..,..,3.162625227,-0.357401201,-7.200482447,-2.715635262,1.169062198,1.229753657,1.27933102,2.654527985,2.833122226,3.239976888,3.184043376,4.19434091,3.817100404,..
Central African Republic,CAF,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,8.587260426,4.630818432,4.194615337,5.053761254,-36.3919771,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593,3,0
Chad,TCD,-0.879681025,11.65813465,8.491209819,14.72166701,33.62937185,17.33253374,0.648262014,3.271499579,3.052691532,4.217695552,13.55010086,0.082869798,8.882576072,5.700001363,6.899985045,2.767675685,-6.255527085,-2.988695986,2.3740378,3.247181917,-0.890209999
Channel Islands,CHI,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,5.326938419,3.303047313,3.106970532,4.091047685,7.209539709,5.742830489,6.317176343,4.905324504,3.529530553,-1.564239443,5.844177296,6.110918829,5.318628,4.045004298,1.766739784,2.303767036,1.711089289,1.184544707,3.713859177,0.942005307,-5.771501669
China,CHN,8.490093406,8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.65067892,9.398725632,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773832,5.949714233,2.3
Colombia,COL,2.924861483,1.677898308,2.503980466,3.918271904,5.333022067,4.828761108,6.716868698,6.738194691,3.283446186,1.139648645,4.494658971,6.947891982,3.912635767,5.13399352,4.499030001,2.955901375,2.087382502,1.359360868,2.564324283,3.281116805,-6.847314206
Comoros,COM,10.84787862,2.332907102,2.324944861,2.103871636,1.919659807,2.83754787,2.646955476,0.800042349,3.999971991,3.200113112,3.799933455,4.099846955,3.200272903,4.499874215,2.100006438,1.116140583,3.320680025,3.815702113,3.430764136,1.986109505,4.910777475
"Congo, Dem. Rep.",COD,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320979565,6.259477764,6.225894269,2.85506401,7.107976576,6.87467089,7.086898947,8.481956636,9.470288097,6.91618781,2.399379098,3.726947653,5.8211211,4.384528881,0.773457032
"Congo, Rep.",COG,7.575980395,3.802601899,4.581870061,0.813264076,3.476631621,7.755758978,7.986238363,-6.613994804,6.306375956,11.63728886,9.931265431,2.205919363,9.947153143,-0.712434452,6.716679334,-3.550581765,-10.70209626,-4.373500998,-4.846001061,0.232123661,-7.948712902
Costa Rica,CRI,3.868718088,3.491169873,3.41687639,4.317179866,4.424599597,3.976666368,7.326695432,8.215131984,4.738174878,-0.873455943,5.360343526,4.40315924,4.882592369,2.494766108,3.542109878,3.652080968,4.204323252,4.157698963,2.05620273,2.167951807,-4.539965917
Cote d'Ivoire,CIV,-2.068400057,0.121371916,-1.667642138,-1.359535943,1.23177284,1.721247367,1.515842363,1.765036784,2.542841476,3.251453718,2.017638592,-4.387254789,10.7065041,8.889421302,8.79407739,8.84285995,7.179207824,7.359638088,6.89028432,6.231709513,1.816441461
Croatia,HRV,2.861746843,2.957710083,5.67815671,5.635798518,4.154576856,4.308493379,4.993287632,5.067625135,1.8934529,-7.323537319,-1.31656298,-0.198369263,-2.391774269,-0.447092177,-0.341452517,2.431888573,3.498134992,3.439217352,2.807609701,2.858925968,-8.367378217
Cuba,CUB,5.914760174,3.185029904,1.424821261,3.792740223,5.77053807,11.20165642,12.06586311,7.262136966,4.116828042,1.451305431,2.390352297,2.802300836,3.014900289,2.747602563,1.047576632,4.438141959,0.513761468,1.809054399,2.248480393,-0.217448488,..
Curacao,CUW,..,-0.695752956,0.397065105,0.288184819,0.208461863,0.676426257,1.63593427,2.469962305,2.188044622,-0.53130945,0.08230596,0.612608577,-0.138917069,-0.794106769,-1.138838621,0.278694931,-0.986569701,-1.73976542,-2.166131078,-3.4,..
Cyprus,CYP,5.965310315,3.952560541,3.722956499,2.623286123,5.026343926,4.853003838,4.713828666,5.098068453,3.646811991,-2.015262359,2.014695707,0.401437941,-3.446822086,-6.553078255,-1.829309109,3.21856901,6.438058481,5.154777146,5.240747828,3.075791962,-5.103479519
Czech Republic,CZE,4.001028635,3.042976563,1.569855328,3.583688459,4.814261001,6.60161753,6.766932681,5.570338859,2.686411951,-4.657331092,2.434902159,1.760359624,-0.785004299,-0.045903674,2.262102897,5.388380838,2.53728452,5.168724304,3.198656101,2.313605202,-5.602303764
Denmark,DNK,3.746862595,0.823152998,0.466345571,0.390058556,2.668219267,2.336641308,3.913007978,0.909238928,-0.512016745,-4.90654773,1.870991147,1.336777767,0.226499792,0.933340972,1.619393811,2.342591108,3.245956985,2.821736341,2.175646389,2.849514441,-2.733288945
Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.061543242,7.696085576,6.652650372,5.403099843,8.407662666,7.770497257,0.5
Dominica,DMA,2.340219321,-0.06384473,-2.827998893,6.353137122,3.050690295,0.655862269,4.659455486,6.352972439,7.121057986,-1.169590643,0.6726344,-0.223550688,-1.059000243,-0.999940631,4.447947365,-2.691108924,2.556494913,-6.79942797,2.29808023,3.459333649,-16.70916029
